time,open,high,low,close
2025-05-22T14:30:00+05:30,110409.1,110454.54,110272.72,110420.56
2025-05-22T14:35:00+05:30,110420.56,110535.28,110272.72,110487.85
2025-05-22T14:40:00+05:30,110487.86,110521.54,110396.9,110429.68
2025-05-22T14:45:00+05:30,110429.69,110520.15,110287.59,110481.22
2025-05-22T14:50:00+05:30,110481.22,110608.7,110481.22,110516.83
2025-05-22T14:55:00+05:30,110516.83,110680,110480.58,110678.65
2025-05-22T15:00:00+05:30,110678.64,110678.65,110619.05,110619.95
2025-05-22T15:05:00+05:30,110619.96,110799.99,110532.44,110740.81
2025-05-22T15:10:00+05:30,110740.81,110797.79,110581.27,110645.99
2025-05-22T15:15:00+05:30,110645.99,110702.15,110592.21,110616.04
2025-05-22T15:20:00+05:30,110616.03,110799.85,110593.05,110799.85
2025-05-22T15:25:00+05:30,110799.85,110840,110742,110821.3
2025-05-22T15:30:00+05:30,110821.3,110868.48,110714.65,110733.88
2025-05-22T15:35:00+05:30,110733.88,110796.38,110601,110716.06
2025-05-22T15:40:00+05:30,110716.06,110780.54,110714.28,110727.27
2025-05-22T15:45:00+05:30,110727.27,110800,110682.75,110750.15
2025-05-22T15:50:00+05:30,110750.15,110869.57,110750.15,110869.56
2025-05-22T15:55:00+05:30,110869.56,110952,110840.92,110901.83
2025-05-22T16:00:00+05:30,110901.83,110952.39,110828.87,110899.99
2025-05-22T16:05:00+05:30,110899.99,110900,110826.1,110844.7
2025-05-22T16:10:00+05:30,110844.7,110913.05,110826.48,110913.05
2025-05-22T16:15:00+05:30,110913.05,110920,110705.01,110743.91
2025-05-22T16:20:00+05:30,110743.91,110848.95,110723.03,110774.22
2025-05-22T16:25:00+05:30,110774.22,110848.95,110727.27,110805.22
2025-05-22T16:30:00+05:30,110805.23,110868.65,110717.35,110717.36
2025-05-22T16:35:00+05:30,110717.35,110759.85,110625.47,110652.17
2025-05-22T16:40:00+05:30,110652.18,110791.2,110652.17,110727.27
2025-05-22T16:45:00+05:30,110727.28,110900,110636.36,110894
2025-05-22T16:50:00+05:30,110894,110920,110583.43,110693.36
2025-05-22T16:55:00+05:30,110693.35,110693.36,110502.44,110502.45
2025-05-22T17:00:00+05:30,110502.44,110577.28,110500,110577.27
2025-05-22T17:05:00+05:30,110577.28,110651.6,110570,110642.2
2025-05-22T17:10:00+05:30,110642.19,110675.31,110594.97,110675.3
2025-05-22T17:15:00+05:30,110675.31,110840,110666.66,110834.85
2025-05-22T17:20:00+05:30,110834.86,111130.23,110834.85,111102.04
2025-05-22T17:25:00+05:30,111102.04,111326.2,110960.85,110981.97
2025-05-22T17:30:00+05:30,110981.98,111093.89,110867.92,111013.9
2025-05-22T17:35:00+05:30,111013.9,111168,111001.03,111028
2025-05-22T17:40:00+05:30,111028,111028,110818.18,110820.93
2025-05-22T17:45:00+05:30,110820.94,111287.97,110804.72,111228.47
2025-05-22T17:50:00+05:30,111228.46,111348.74,111165.52,111251.81
2025-05-22T17:55:00+05:30,111251.8,111408.87,111218.53,111285.71
2025-05-22T18:00:00+05:30,111285.71,111479.4,111186.05,111405.23
2025-05-22T18:05:00+05:30,111405.23,111569.25,111405.23,111445.76
2025-05-22T18:10:00+05:30,111445.75,111568.16,111348.57,111392.23
2025-05-22T18:15:00+05:30,111392.23,111517.78,111382,111486.97
2025-05-22T18:20:00+05:30,111486.98,111565.22,111478.26,111523.99
2025-05-22T18:25:00+05:30,111523.99,111626.43,111500,111608.69
2025-05-22T18:30:00+05:30,111608.69,111625.75,111355.75,111355.76
2025-05-22T18:35:00+05:30,111355.75,111373.9,111233.37,111344.26
2025-05-22T18:40:00+05:30,111344.25,111429.45,111268,111268.01
2025-05-22T18:45:00+05:30,111268,111297.25,111154.23,111154.24
2025-05-22T18:50:00+05:30,111154.23,111339.83,111114.44,111298.33
2025-05-22T18:55:00+05:30,111298.33,111417.15,111286,111417.14
2025-05-22T19:00:00+05:30,111417.14,111600,110973.48,111069.46
2025-05-22T19:05:00+05:30,111069.45,111358.45,110918.01,111292.92
2025-05-22T19:10:00+05:30,111292.91,111563.65,111218.22,111314.61
2025-05-22T19:15:00+05:30,111314.61,111338.83,110964.21,111220
2025-05-22T19:20:00+05:30,111219.99,111474.98,111045.52,111347.83
2025-05-22T19:25:00+05:30,111347.83,111354,110904,110914.49
2025-05-22T19:30:00+05:30,110914.49,111047.17,110750.01,110921.44
2025-05-22T19:35:00+05:30,110921.45,111173.92,110820.02,111019.92
2025-05-22T19:40:00+05:30,111019.92,111019.92,110614.9,110767.06
2025-05-22T19:45:00+05:30,110767.06,111136.37,110708.06,111081.87
2025-05-22T19:50:00+05:30,111081.86,111181.82,110880,110922.44
2025-05-22T19:55:00+05:30,110922.44,111323.84,110800.01,111265.56
2025-05-22T20:00:00+05:30,111265.56,111397.94,111027.65,111173.92
2025-05-22T20:05:00+05:30,111173.91,111270.06,110738.93,110854.21
2025-05-22T20:10:00+05:30,110854.2,111105.83,110818.18,110935.28
2025-05-22T20:15:00+05:30,110935.29,111036.88,110828.59,110828.63
2025-05-22T20:20:00+05:30,110828.62,110945.49,110712.99,110770.19
2025-05-22T20:25:00+05:30,110770.18,110909.68,110550,110897.9
2025-05-22T20:30:00+05:30,110897.89,110992.4,110787.8,110940.01
2025-05-22T20:35:00+05:30,110940.01,111167.47,110863.63,110944.35
2025-05-22T20:40:00+05:30,110944.35,111000,110879.25,110952.39
2025-05-22T20:45:00+05:30,110952.38,111158.96,110840,111141.95
2025-05-22T20:50:00+05:30,111141.95,111281.98,111119.62,111139.96
2025-05-22T20:55:00+05:30,111139.96,111217.4,111097.19,111128.4
2025-05-22T21:00:00+05:30,111128.4,111227.28,111043.47,111217.27
2025-05-22T21:05:00+05:30,111217.26,111357.62,111181.82,111355.68
2025-05-22T21:10:00+05:30,111355.68,111492.97,111292.02,111492.97
2025-05-22T21:15:00+05:30,111492.98,111529.72,111333,111379.99
2025-05-22T21:20:00+05:30,111379.99,111434.79,111236.74,111355.19
2025-05-22T21:25:00+05:30,111355.18,111379.93,111189.68,111290.86
2025-05-22T21:30:00+05:30,111290.85,111427.09,111227.27,111402.9
2025-05-22T21:35:00+05:30,111402.9,111476.2,111318.18,111391.3
2025-05-22T21:40:00+05:30,111391.3,111510.61,111380,111510.6
2025-05-22T21:45:00+05:30,111510.61,111782.61,111510.61,111560.01
2025-05-22T21:50:00+05:30,111560.01,111562.19,111363.65,111434.78
2025-05-22T21:55:00+05:30,111434.78,111436.97,111252.55,111254.59
2025-05-22T22:00:00+05:30,111254.59,111258.84,111087.25,111122.98
2025-05-22T22:05:00+05:30,111122.98,111406.79,111122.98,111363.63
2025-05-22T22:10:00+05:30,111363.63,111468.03,111272.83,111430.01
2025-05-22T22:15:00+05:30,111430.01,111431.36,111290.37,111336.54
2025-05-22T22:20:00+05:30,111336.53,111391.31,111304.35,111316.78
2025-05-22T22:25:00+05:30,111316.77,111316.78,111128,111252.36
2025-05-22T22:30:00+05:30,111252.36,111314.26,111168.03,111314.25
2025-05-22T22:35:00+05:30,111314.26,111407.68,111314.26,111318.19
2025-05-22T22:40:00+05:30,111318.18,111396.18,111259.23,111382.65
2025-05-22T22:45:00+05:30,111382.65,111526.95,111351.57,111526.94
2025-05-22T22:50:00+05:30,111526.95,111941.91,111526.94,111912.02
2025-05-22T22:55:00+05:30,111912.01,111948.46,111681.81,111705.63
2025-05-22T23:00:00+05:30,111705.62,111980,111666.66,111913.04
2025-05-22T23:05:00+05:30,111913.05,111932.02,111812.42,111844.87
2025-05-22T23:10:00+05:30,111844.86,111844.87,111675.52,111749.99
2025-05-22T23:15:00+05:30,111749.98,111749.99,111503.45,111518.5
2025-05-22T23:20:00+05:30,111518.5,111563.68,111442.88,111442.89
2025-05-22T23:25:00+05:30,111442.88,111542.81,111379.91,111502.31
2025-05-22T23:30:00+05:30,111502.32,111551,111409.09,111528.72
2025-05-22T23:35:00+05:30,111528.71,111535.56,111391.3,111391.31
2025-05-22T23:40:00+05:30,111391.3,111565.22,111379.22,111445.99
2025-05-22T23:45:00+05:30,111446,111686.26,111446,111686.26
2025-05-22T23:50:00+05:30,111686.26,111726.17,111548.35,111619.04
2025-05-22T23:55:00+05:30,111619.05,111694.6,111576.58,111694.59
2025-05-23T00:00:00+05:30,111694.6,111853.5,111654.61,111794.81
2025-05-23T00:05:00+05:30,111794.81,111948,111740.4,111924.08
2025-05-23T00:10:00+05:30,111924.07,111953.85,111724.39,111745.65
2025-05-23T00:15:00+05:30,111745.64,111829.99,111681.81,111753.66
2025-05-23T00:20:00+05:30,111753.66,111826.09,111702.77,111753.58
2025-05-23T00:25:00+05:30,111753.58,111839.23,111727.27,111727.27
2025-05-23T00:30:00+05:30,111727.28,111769.09,111508.36,111512.93
2025-05-23T00:35:00+05:30,111512.92,111672.73,111470.58,111602.46
2025-05-23T00:40:00+05:30,111602.46,111823.28,111528,111750.15
2025-05-23T00:45:00+05:30,111750.15,111793.61,111666.59,111666.59
2025-05-23T00:50:00+05:30,111666.6,111816.77,111666.59,111754.01
2025-05-23T00:55:00+05:30,111754,111920,111754,111898.74
2025-05-23T01:00:00+05:30,111898.74,111919.91,111565.21,111612.52
2025-05-23T01:05:00+05:30,111612.51,111612.51,111367.96,111404.81
2025-05-23T01:10:00+05:30,111404.8,111472.75,111350,111359.29
2025-05-23T01:15:00+05:30,111359.29,111359.29,110979.11,111136.37
2025-05-23T01:20:00+05:30,111136.37,111270,111110.63,111188.51
2025-05-23T01:25:00+05:30,111188.51,111218.12,110916.4,111188
2025-05-23T01:30:00+05:30,111188,111431.5,111082.69,111307.07
2025-05-23T01:35:00+05:30,111307.07,111317.84,111192.46,111260.88
2025-05-23T01:40:00+05:30,111260.87,111333.27,111218.06,111284.55
2025-05-23T01:45:00+05:30,111284.55,111284.56,111109,111109
2025-05-23T01:50:00+05:30,111109,111147.51,111021.76,111079.99
2025-05-23T01:55:00+05:30,111079.98,111079.99,110986.71,111058.67
2025-05-23T02:00:00+05:30,111058.67,111113.35,110840,110843.57
2025-05-23T02:05:00+05:30,110843.58,111005.29,110831.52,110931.47
